suffix	scanner	task	acq	BandwidthPerPixelPhaseEncode	BaseResolution	CoilString	DeviceSerialNumber	DiffusionScheme	DwellTime	EchoTime	EchoTrainLength	EffectiveEchoSpacing	FlipAngle	ImageOrientationPatientDICOM	ImageType	ImagingFrequency	InPlanePhaseEncodingDirectionDICOM	MRAcquisitionType	MagneticFieldStrength	Manufacturer	ManufacturersModelName	PartialFourier	PercentPhaseFOV	PercentSampling	PhaseEncodingDirection	PhaseResolution	PixelBandwidth	PulseSequenceDetails	ReceiveCoilActiveElements	ReceiveCoilName	ReconMatrixPE	RepetitionTime	ScanOptions	ScanningSequence	SequenceVariant	SliceThickness	SliceTiming	SoftwareVersions	SpacingBetweenSlices	TotalReadoutTime	VendorReportedEchoSpacing	phantom	dir	ConsistencyInfo	MultibandAccelerationFactor	PhaseEncodingSteps	RefLinesPE	SequenceName	dcmmeta_affine	dcmmeta_reorient_transform	dcmmeta_shape	dcmmeta_slice_dim	dcmmeta_version	bval	bvec	BitsStored	PhaseEncodingPolarityGE	PartialFourierEnabled	PhaseEncodingAxis	PhaseEncodingStepsNoPartialFourier	WaterFatShift	InversionTime
T1w	NS				256.0		70032		8.1e-06	0.00606			15	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS2D']	123.218	COL	2D	3	Siemens	Skyra_fit	1.0	81.25	100.0	j-	1.0	240.0	%SiemensSeq%\gre	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	208	0.15		GR	SP	5.0	[0, 0.08594, 0.01562, 0.10156, 0.03125, 0.11719, 0.04688, 0.13281, 0.07031]	syngo MR E11	5.0			True		N4_VE11C_LATEST_20160120		208.0		*fl2d1r	[[-0.859375, 0.0, 0.0], [0.0, 0.859375, 0.0], [0.0, 0.0, 5.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 207.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 208, 9]	2.0	0.6			12.0						
T1w	NS				256.0		70032		1.09e-05	0.00284			8	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND']	123.218	COL	3D	3	Siemens	Skyra_fit	1.0	100.0	100.0		1.0	180.0	%CustomerSeq%\tfl_mgh_epinav_ABCD	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	256	2.5	IR	GR\IR	SK\SP\MP	1.0		syngo MR E11				False		N4_VE11C_LATEST_20160120		255.0	24.0	tfl3d1_16	[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 255.0], [0.0, 0.0, -1.0, 175.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 176]	2.0	0.6			12.0						1.06
T1w	SH				256.0	HeadNeck_64	66022		1.22e-05	0.00307			8	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'NONE']	123.257	COL	3D	3	Siemens	MAGNETOM Prisma	1.0	100.0	100.0		1.0	160.0	%SiemensSeq%\tfl	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	256	2.5	IR	GR\IR	SK\SP\MP	1.0		syngo MR XA30				False					24.0															1.06
T1w	SH				256.0		66022		8.1e-06	0.00606			15	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'NORM', 'DIS2D']	123.257	COL	2D	3	Siemens	Prisma	1.0	81.25	100.0	j-	1.0	240.0	%SiemensSeq%\gre	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	208	0.15		GR	SP	5.0	[0, 0.08594, 0.01562, 0.10156, 0.03125, 0.11719, 0.04688, 0.13281, 0.07031]	syngo MR E11	5.0			True		N4_VE11C_LATEST_20160120		208.0		*fl2d1r	[[-0.859375, 0.0, 0.0], [0.0, 0.859375, 0.0], [0.0, 0.0, 5.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 207.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 208, 9]	2.0	0.6			12.0						
T1w	UC					MULTI COIL	71399			0.005803			15	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.767	ROW	2D	3	Philips	Ingenia		100.0	100.0			241.0				256	0.15	FC	GR	SS	5.0		5.6.1\5.6.1.0	6.0			True				256.0			[[-0.859375, 0.0, 0.0], [0.0, 0.859375, 0.0], [0.0, 0.0, 6.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 9]	2.0	0.6			12.0			i		1.80158	
T1w	UC					MULTI COIL	71399			0.002999	150.0		8	[0, 1, 0, 0, 0, -1]	['ORIGINAL', 'PRIMARY', 'M', 'FFE', 'M', 'FFE']	127.767	ROW	3D	3	Philips	Ingenia		93.75	78.5398			241.0				256	0.0066582	OTHER	GR	MP	1.0		5.6.1\5.6.1.0	1.0			False				256.0			[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, 0.0, -1.0, 255.0], [0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 224.0], [0.0, 0.0, 0.0, 1.0]]	[225, 256, 256]	0.0	0.6			12.0			i		1.80605	
T1w	UI					RM:Nova32ch	000000312996MR3T			0.00292			8	[0, 1, 0, 0, 0, -1]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.779	ROW	3D	3	GE	DISCOVERY MR750		100.0	100.0			244.141				256	0.006952	EDR_GEMS\PROMO_GEMS\ACC_GEMS\IR_GEMS	RM	NONE	1.0		27\LX\MR Software release:DV26.0_R02_1810.b	1.0			False							[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, 0.0, -1.0, 255.0], [0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 207.0], [0.0, 0.0, 0.0, 1.0]]	[208, 256, 256]	0.0	0.6			16.0						1.06
T1w	UI					RM:Nova32ch	000000312996MR3T			0.0049			15	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.779	ROW	2D	3	GE	DISCOVERY MR750		100.0	100.0			244.141				256	0.15	EDR_GEMS	GR	SS	5.0		27\LX\MR Software release:DV26.0_R02_1810.b	5.0			True							[[-0.8593999743461609, 0.0, 0.0], [0.0, 0.8593999743461609, 0.0], [0.0, 0.0, 5.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 9]	2.0	0.6			16.0			i			
T1w	UM1					RM:Nova32ch	000000000UM750MR			0.00292			8	[0, 1, 0, 0, 0, -1]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.767	ROW	3D	3	GE	DISCOVERY MR750		100.0	100.0			244.141				256	2.49938	EDR_GEMS\PROMO_GEMS\ACC_GEMS\FSI_GEMS\IR_GEMS	RM\IR	NONE	1.0		29\LX\DV29.1_R02_2131.a	1.0			False							[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, 0.0, -1.0, 255.0], [0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 207.0], [0.0, 0.0, 0.0, 1.0]]	[208, 256, 256]	0.0	0.6			16.0						1.06
T1w	UM2					RM:32NovaHead2	0007347633TMRFIX			0.000496			1	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.749	ROW	3D	3	GE	SIGNA UHP		100.0	100.0			488.281				256	0.0022	EDR_GEMS	RM	NONE	9.4		28\LX\MR Software release:RX28.0_R04_UHP3T_2111.a	9.4			True																				
T1w	UM2					RM:32NovaHead2	0007347633TMRFIX			0.002912			8	[0, 1, 0, 0, 0, -1]	['ORIGINAL', 'PRIMARY', 'OTHER']	127.75	ROW	3D	3	GE	SIGNA UHP		100.0	100.0			244.141				256	2.5	EDR_GEMS\PROMO_GEMS\ACC_GEMS\IR_GEMS	RM\IR	NONE	1.0		28\LX\MR Software release:RX28.0_R04_UHP3T_2111.a	1.0			False							[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, 0.0, -1.0, 255.0], [0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 207.0], [0.0, 0.0, 0.0, 1.0]]	[208, 256, 256]	0.0	0.6			16.0						1.06
T1w	WS				256.0	C:HEA;HEP	40292		7.5e-06	0.00386			15	[1, -2.05103e-10, 0, 2.05103e-10, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND']	123.234	ROW	2D	3	Siemens	Verio	1.0	100.0	100.0	i	1.0	260.0	%SiemensSeq%\gre		32Ch_Head	256	0.15		GR	SP	5.0	[0, 0.07812, 0.01562, 0.10938, 0.03125, 0.125, 0.04688, 0.14062, 0.07812]	syngo MR B17	5.0			True				256.0		*fl2d1	[[-0.859375, 1.7626072823517802e-10, 0.0], [1.7626072823517802e-10, 0.859375, 0.0], [0.0, 0.0, 5.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, -1.0, 8.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 9]	2.0	0.6			12.0						
T1w	WS				256.0	C:HEA;HEP	40292		1.1e-05	0.00285			8	[1, -2.05103e-10, 0, 2.05103e-10, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND']	123.234	ROW	3D	3	Siemens	Verio	1.0	100.0	100.0		1.0	178.0	%SiemensSeq%\tfl		32Ch_Head	256	2.5	IR	GR\IR	SP\MP	1.0		syngo MR B17				False				255.0	24.0	*tfl3d1	[[1.0, 2.0510340648094427e-10, 0.0], [-2.0510340648094427e-10, 1.0, 0.0], [0.0, 0.0, 1.0], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 255.0], [-1.0, 0.0, 0.0, 255.0], [0.0, 0.0, -1.0, 175.0], [0.0, 0.0, 0.0, 1.0]]	[256, 256, 176]	2.0	0.6			12.0						1.0
bold	NS	cuff		20.576	90.0		70032		2.2e-06	0.032	90.0	0.000540003	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC']	123.218	COL	2D	3	Siemens	Skyra_fit	1.0	100.0	100.0	j-	1.0	2525.0	%CustomerSeq%\ep2d_bold_sms_abcd	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	90	0.8	FS	EP	SK	2.4	[0.3475, 0, 0.4325, 0.0875, 0.52, 0.1725, 0.6075, 0.26, 0.6925, 0.3475, 0, 0.4325, 0.0875, 0.52, 0.1725, 0.6075, 0.26, 0.6925, 0.3475, 0, 0.4325, 0.0875, 0.52, 0.1725, 0.6075, 0.26, 0.6925, 0.3475, 0, 0.4325, 0.0875, 0.52, 0.1725, 0.6075, 0.26, 0.6925, 0.3475, 0, 0.4325, 0.0875, 0.52, 0.1725, 0.6075, 0.26, 0.6925, 0.3475, 0, 0.4325, 0.0875, 0.52, 0.1725, 0.6075, 0.26, 0.6925]	syngo MR E11	2.4	0.0480603		False		N4_VE11C_LATEST_20160120	6.0	90.0	8.0	epfid2d1_90	[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.3999998569488525], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 54, 450]	2.0	0.6			12.0						
bold	NS	rest		20.576	90.0		70032		2.2e-06	0.032	90.0	0.000540003	52	[1, 0, 0, 0, 1, 0]	['ORIGINAL', 'PRIMARY', 'M', 'ND', 'MOSAIC']	123.218	COL	2D	3	Siemens	Skyra_fit	1.0	100.0	100.0	j-	1.0	2525.0	%CustomerSeq%\ep2d_bold_sms_abcd	['HC1-6', 'HC3-6', 'HC1-7', 'HC1-7;NC1', 'HC1-7;NC1,2', 'HC1-7;NC2;SP1', 'HC3-7;NC1', 'HEA;HEP', 'HC1,3-7;NC1']	HeadNeck_64	90	0.8	FS	EP	SK	2.4	[0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925, 0.345, 0, 0.4325, 0.085, 0.52, 0.1725, 0.605, 0.26, 0.6925]	syngo MR E11	2.4	0.0480603		True		N4_VE11C_LATEST_20160120	6.0	90.0	8.0	epfid2d1_90	[[-2.4000000953674316, 0.0, 0.0], [0.0, 2.4000000953674316, 0.0], [0.0, 0.0, 2.4000000953674316], [0.0, 0.0, 0.0]]	[[0.0, -1.0, 0.0, 89.0], [1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 1.0]]	[90, 90, 54, 450]	2.0	0.6			12.0						
